cell line	drug	target	log10[max. dose (M)]	R^2 (goodness of fit)	log10[EC50 (M)]	log10[IC50 (M)]	log10[GI50 (M)]	HillSlope	E_inf	E_max	AUC
HCC1419	SB-715992	KSP	-4.4776	0.93455	-4.9434	-4.9434	-5.2287	3.9345	0	0.014659	7.8012
HCC1419	Sigma AKT1-2 inhibitor	AKT	-4.1759	0.955	-5.0429	-5.043	-6.1201	0.8096	0	0.1657	7.0092
HCC1419	Sunitinib Malate	PDGFR/VEGFR/KIT/FLT3	-3.7773	0.8508	-4.8313	-4.7988	-5.0314	3.997	0.11225	0.11231	7.4474
HCC1419	TCS2312 dihydrochloride	CHK1	-4.4776	0.8778	-5.7316	-5.5173	-5.9623	1.8130000000000002	0.2953	0.29904000000000003	7.1514
HCC1419	Tamoxifen	ESR1	-3.7773	0.8537	-4.208	-4.208	-4.5796	1.864	0	0.13602	8.5161
HCC1419	Temsirolimus	MTOR	-3.8761	0.7668	-5.1381	-5.1378	NaN	0.3556	0	0.26249	6.3054
HCC1419	Topotecan	TOP1	-3.9626	0.981	-6.0896	-5.9434	-6.5412	1.205	0.1834	0.18552000000000002	6.2646
HCC1419	Trichostatin A	HDAC	-2.301	0.98485	-4.343999999999999	-4.3344	-4.7769	2.2975	0.022000000000000002	0.022061	5.4964
HCC1419	Triciribine	AKT	-4.4776	0.88835	-5.0431	-4.4776	-6.6517	0.50855	0.27575	0.56624	7.7476
HCC1419	VX-680	AURK/FLT3/ABL/JAK2	-4.0	0.8498	-4.1981	-4.1981	-4.8568	0.9298	0	0.39555999999999997	7.7843
HCC1419	Valproic acid	HDAC	-1.8239	0.9033	-2.4163	-2.4163	-3.0491	1.587	0	0.10295	7.3187
HCC1419	Vinorelbine	TUBB	-4.3335	0.7958	-5.3196	-5.3194	-7.098	0.4106	0	0.27091	6.4006
HCC1419	Vorinostat	HDAC	-1.7282	0.98185	-3.4097	-3.3978	-4.0907	1.483	0.016995	0.01913	5.9465
HCC1419	XRP44X	ELK3	-3.8761	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.3133
HCC1419	Z-Leu-Leu-Leu-al	Proteasome	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
HCC1419	Z-Leu-Leu-Norvalinal	Proteasome	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
HCC1428	17-AAG	HSP90	-4.0	0.8383	-6.111000000000001	-6.1114	-7.739	0.3469	0	0.15623	5.4574
HCC1428	5-FU	TYMS	-1.7167	0.9024	-4.7157	-4.5358	-5.1729	0.9946	0.1689	0.16976	4.6703
HCC1428	5-FUdR	TYMS	-2.301	0.94875	-3.08	-3.08	-4.1241	0.5954	0	0.26073	7.0103
HCC1428	AG1478	EGFR	-3.7773	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.3255
HCC1428	BIBW2992	EGFR/HER2	-4.1759	0.9647	-5.3459	-5.3456	-5.7379999999999995	1.545	0	0.015350999999999998	6.5878
HCC1428	Baicalein	Lipoxygenase	-3.7773	0.9101	-4.118	-4.0206	-4.3724	1.7309999999999999	0	0.37544	7.8277
HCC1428	Bortezomib	Proteasome	-3.7773	0.97055	-6.1703	-5.8097	-6.5985	0.91305	0.2649	0.26982	6.1229
HCC1428	Bosutinib	Src	-4.0	0.93215	-5.1295	-5.0767	-5.4463	1.61	0.08305	0.096859	6.7432
HCC1428	CGC-11047	Polyamine analogue	-2.301	0.8375	-3.1710000000000003	-3.1710000000000003	-4.2068	0.81605	0	0.1829	6.7133
HCC1428	CGC-11144	Polyamine analogue	-3.15	0.99565	-6.1675	-6.1629	-6.4617	1.9715	0.009996	0.010006999999999999	4.2252
HCC1428	CPT-11	TOP1	-4.0696	0.8864	-4.386	-4.3505	-4.649	2.9555	0.11992	0.35358	8.4229
HCC1428	Carboplatin	DNA cross-linker	-2.8697	0.9587	-3.5815	-3.5573	-3.8724	1.939	0.05101	0.08897999999999999	7.8261
HCC1428	Cisplatin	DNA cross-linker	-3.6021	0.96425	-4.4062	-4.3978	-4.5393	3.9965	0.036664999999999996	0.038142	7.5993
HCC1428	Docetaxel	TUBB	-5.0	0.8405	-8.094	-5.0	-6.4032	1.0855	0.7934	0.7934899999999999	8.4257
HCC1428	Doxorubicin	TOP2	-6.2596	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.8373
HCC1428	Epirubicin	TOP2	-3.7645	0.9855	-5.7275	-5.7191	-5.8954	3.2319999999999998	0.0302	0.0302	6.0288
HCC1428	Erlotinib	EGFR	-4.1759	0.83	-4.8774	-4.1759	-4.7518	2.8435	0.6507	0.6604899999999999	8.5089
HCC1428	Etoposide	TOP2	-3.4776	0.95105	-4.2405	-3.9171	-4.5105	1.1975	0.3122	0.37833	7.8407
HCC1428	Everolimus	MTOR	-4.1759	0.7496	-4.9143	-4.9144	-5.6969	0.5917	0	0.26773	6.8292
HCC1428	Fascaplysin	CDK4	-4.4776	0.9933	-7.2466	-7.2446	-7.4391	2.6515	0.00535	0.00535	4.4905
HCC1428	GSK1059615	PI3K	-3.8761	0.98105	-5.6961	-5.6863	-6.2551	1.0073	0.010884999999999999	0.025782999999999997	6.0014
HCC1428	GSK1070916	AURK	-4.4776	0.955	-4.8857	-4.8856	-5.6712	1.5859999999999999	0	0.15986	7.7067
HCC1428	GSK1120212	MEK	-4.7773	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.7307
HCC1428	GSK1838705A	IGF1R	-4.1759	0.94	-5.4499	-5.4502	-5.7088	1.883	0.08821	0.088214	6.4858
HCC1428	GSK2119563A	PI3K	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
HCC1428	GSK2126458A	PI3K	-4.4776	0.9389	-7.0436	-6.6504	-7.5424	0.86425	0.26065	0.2826	5.9711
HCC1428	GSK461364	PLK1	-4.4776	0.9592	-4.94	-4.9399	-5.269	3.34	0	0.020262	7.7381
HCC1428	GSK923295	CENPE	-4.4776	0.8485	-4.7519	-4.7519	-5.4242	1.0494	0	0.35086	7.7604
HCC1428	Gefitinib	EGFR	-4.4776	0.9555	-4.8307	-4.8307	-4.9709	2.5540000000000003	0	0.1114	7.6485
HCC1428	Geldanamycin	HSP90	-4.0	0.9545	-7.4585	-5.3837	-7.5179	2.7705	0.5049	0.5049	6.406000000000001
HCC1428	Gemcitabine	DNA replication	-3.8416	0.8697	-4.6041	-3.8416	-4.4875	4.0	0.7348	0.7350399999999999	8.5577
HCC1428	IKK 16	IKK	-4.1759	0.9874	-5.3474	-5.3455	-5.4739	3.7675	0.0076875	0.007742300000000001	6.6916
HCC1428	Ibandronate sodium salt	FDPS	-2.8239	0.95175	-3.7368	-3.1782	-3.9275	1.5325	0.4179	0.45365	7.9304
HCC1428	Imatinib	ABL/KIT/PDGFR	-3.248	0.98665	-4.531000000000001	-4.5302	-4.744	2.5995	0	0	6.6634
HCC1428	Ixabepilone	TUBB	-4.4045	0.80225	-5.7989999999999995	-5.7992	NaN	0.3205	0	0.26424000000000003	6.0222
HCC1428	LBH589	HDAC	-4.4776	0.96915	-6.8721	-6.8673	-7.0469	3.08	0.01518	0.01518	5.0165
HCC1428	Lestaurtinib	FLT3/JAK2/TrkA	-4.4776	0.90305	-5.4869	-5.4869	-6.4079	0.61325	0	0.19659000000000001	6.6989
HCC1428	MG-132	Proteasome	-4.1759	0.98225	-6.4464	-6.3892	-6.5928	3.161	0.16465	0.16465	5.7241
HCC1428	MLN4924	NAE1	-4.1759	0.87085	-7.1224	-4.1759	-6.9644	1.4573	0.61795	0.61828	7.0586
HCC1428	NSC663284	CDC25	-3.7773	0.9890000000000001	-5.3218	-5.3191	-5.5278	2.925	0.008862	0.009120200000000002	6.2139999999999995
HCC1428	NU6102	CDK1/2	-4.1759	0.8895	-4.6026	-4.6026	-4.8681	1.9569999999999999	0	0.12971	7.5602
HCC1428	Nutlin 3a	MDM2	-4.1759	0.87435	-4.343999999999999	-4.343999999999999	-4.5678	1.7185	0	0.33781	8.0519
HCC1428	Olomoucine II	CDK1	-3.8761	0.9205	-5.0086	-4.6896	-5.3374	1.0836	0.24935	0.29644000000000004	7.252999999999999
HCC1428	Oxaliplatin	DNA cross-linker	-3.2013	0.9732	-4.9213	-4.9041	-5.1229	2.6189999999999998	0.048589999999999994	0.048626	6.2962
HCC1428	Oxamflatin	HDAC	-4.1759	0.97465	-6.1564	-6.1494	-6.3189	3.263	0.02713	0.027134	5.5477
HCC1428	PD173074	FGFR1/3	-4.4776	0.9713	-5.1368	-5.1367	-5.3555	2.302	0	0.029486000000000002	7.2858
HCC1428	PP242 hydrate	MTOR	-4.301	0.7953	-7.725	-7.4406	-9.2993	0.2643	0.07958	0.18143	4.2525
HCC1428	Paclitaxel	TUBB	-4.4776	0.8373	-7.8311	-4.4776	-6.0625	1.5830000000000002	0.76685	0.76686	8.2442
HCC1428	SB-715992	KSP	-4.4776	0.8473	-5.2032	-5.2032	-5.9047	1.7565	0	0.1257	7.127999999999999
HCC1428	Sigma AKT1-2 inhibitor	AKT	-4.1759	0.9259999999999999	-4.8855	-4.8855	-5.5055	1.294	0	0.10784	7.0551
HCC1428	Sunitinib Malate	PDGFR/VEGFR/KIT/FLT3	-3.7773	0.97915	-5.0478	-5.0479	-5.2565	2.588	0	0	6.44
HCC1428	TCS2312 dihydrochloride	CHK1	-4.4776	0.9819	-5.8671	-5.8401	-6.152	1.8705	0.0544	0.056796000000000006	6.5391
HCC1428	Tamoxifen	ESR1	-3.7773	0.7209	-4.2667	-4.2667	NaN	0.3206	0	0.41063999999999995	6.8703
HCC1428	Temsirolimus	MTOR	-3.8761	0.79175	-4.8098	-4.8099	-5.8112	0.5428	0	0.23895999999999998	6.4956
HCC1428	Topotecan	TOP1	-3.9626	0.9785	-5.7831	-5.6965	-6.3155	1.2935	0.10845999999999999	0.11484000000000001	6.3916
HCC1428	Trichostatin A	HDAC	-2.301	0.9787	-5.466	-5.4557	-5.7568	2.211	0.01931	0.019316	4.1335
HCC1428	Triciribine	AKT	-4.4776	0.9804	-5.8886	-5.867999999999999	-7.0873	0.45985	0	0.19722	6.2826
HCC1428	VX-680	AURK/FLT3/ABL/JAK2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
HCC1428	Valproic acid	HDAC	-1.8239	0.97635	-2.8929	-2.8884	-3.1603	2.1525	0.01083	0.015925	6.8314
HCC1428	Vinorelbine	TUBB	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
HCC1428	Vorinostat	HDAC	-1.7282	0.9949	-4.2092	-4.2032	-4.4423	2.296	0.01399	0.013992	5.0661
HCC1428	XRP44X	ELK3	-3.8761	0.8842	-6.0151	-3.8761	-5.8419	3.633	0.7028	0.7028	7.6465
HCC1428	Z-Leu-Leu-Leu-al	Proteasome	-4.1759	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.4462
HCC1428	Z-Leu-Leu-Norvalinal	Proteasome	-4.1759	0.9888	-5.6669	-5.4336	-6.156000000000001	3.13	0.4069	0.40691	7.4502
HCC1569	17-AAG	HSP90	-4.0	0.95995	-6.797000000000001	-6.6593	-6.8748	2.5205	0.21485	0.21538000000000002	5.4975
HCC1569	5-FU	TYMS	-1.7167	0.9690000000000001	-3.5487	-3.4078	-3.9617	0.4822	0.07007000000000001	0.15515	6.1255
HCC1569	5-FUdR	TYMS	-2.301	0.91815	-2.3624	-2.5871	-3.3387	0.39775	0.0027235	0.47545	7.5293
HCC1569	AG1478	EGFR	-3.7773	0.8190000000000001	-5.0463	-4.6358	-5.3792	0.7269	0.1016	0.31605	6.6668
HCC1569	BIBW2992	EGFR/HER2	-4.1759	0.9016	-5.5159	-5.5154	NaN	0.4266	0	0.21151999999999999	6.2609
HCC1569	Baicalein	Lipoxygenase	-3.7773	0.8467	-3.8842	-3.8842	-3.9805	1.4769999999999999	0	0.41008999999999995	7.905
HCC1569	Bortezomib	Proteasome	-3.7773	0.993	-7.4233	-7.4018	-7.4695	2.611	0.04543	0.04543	3.5433
HCC1569	Bosutinib	Src	-4.0	0.9711	-5.716	-5.6117	-5.8001	1.837	0.1784	0.17898	6.5227
HCC1569	CGC-11047	Polyamine analogue	-2.301	0.8386	-2.8474	-2.8474	-3.5307	0.4205	0	0.34310999999999997	7.1806
HCC1569	CGC-11144	Polyamine analogue	-3.15	0.9046	-5.899	-5.8988	-6.3397	0.4704	0	0.048458	6.6435
HCC1569	CPT-11	TOP1	-4.0696	0.9441	-4.4505	-4.4504	-4.5932	1.8530000000000002	0	0.16455	8.2304
HCC1569	Carboplatin	DNA cross-linker	-2.8697	0.91515	-3.8483	-3.7117	-3.9916	1.0705	0.13462000000000002	0.20817	7.3559
HCC1569	Cisplatin	DNA cross-linker	-3.6021	0.92555	-4.7495	-4.6143	-4.9528	0.96585	0.1235	0.25659	7.3187
HCC1569	Docetaxel	TUBB	-5.0	0.83905	-8.5935	-5.0	-8.0854	1.4385	0.5932	0.5932	6.7816
HCC1569	Doxorubicin	TOP2	-6.2596	0.8574	-5.6508	-6.2596	-6.4796	0.428	0	0.64566	8.1424
HCC1569	Epirubicin	TOP2	-3.7645	0.9012	-5.9645	-5.8433	-6.1287	0.7519	0.1	0.12186	5.8298
HCC1569	Erlotinib	EGFR	-4.1759	0.9067	-4.6203	-4.2339	-4.7274	1.2117	0.23925	0.48425	7.9652
HCC1569	Etoposide	TOP2	-3.4776	0.9371	-3.9339	-3.9211	-4.1879	0.6049	0	0.34625	7.4779
HCC1569	Everolimus	MTOR	-4.1759	0.71485	-5.1081	-5.1083	NaN	0.26125	0	0.36293000000000003	6.2645
HCC1569	Fascaplysin	CDK4	-4.4776	0.9831	-6.2996	-6.2991	-6.3953	2.355	0.002369	0.0023696	5.8015
HCC1569	GSK1059615	PI3K	-3.8761	0.9564	-5.8856	-5.7588	-5.955	1.8415	0.20555	0.20583	6.4466
HCC1569	GSK1070916	AURK	-4.4776	0.90595	-5.6529	-5.653	-6.1004	0.51675	0	0.20187	6.5482
HCC1569	GSK1120212	MEK	-4.7773	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.9257
HCC1569	GSK1838705A	IGF1R	-4.1759	0.7123	-5.5339	-4.1759	-4.1759	3.9930000000000003	0.7054	0.7054	8.0994
HCC1569	GSK2119563A	PI3K	-4.4776	0.9661	-5.5026	-5.2228	-5.6042	0.6763	0.1768	0.31544	7.3660000000000005
HCC1569	GSK2126458A	PI3K	-4.4776	0.96475	-7.7576	-7.5276	-7.7975	1.2645	0.24115	0.24128000000000002	5.1165
HCC1569	GSK461364	PLK1	-4.4776	0.7965	-5.0714	-5.0714	-5.7745	0.3696	0	0.37629	6.5207
HCC1569	GSK923295	CENPE	-4.4776	0.8841	-6.9376	-5.006	-6.6969	1.1643	0.48885	0.5046	6.9724
HCC1569	Gefitinib	EGFR	-4.4776	0.94345	-4.9701	-4.9701	-5.2564	1.0588	0	0.23751	7.5503
HCC1569	Geldanamycin	HSP90	-4.0	0.9746	-7.376	-7.2331	-7.4065	2.713	0.2953	0.2953	5.4055
HCC1569	Gemcitabine	DNA replication	-3.8416	0.86595	-7.1526	-4.5744	-6.0004	0.43625	0.51475	0.53259	6.4818
HCC1569	IKK 16	IKK	-4.1759	0.9802	-5.4279	-5.4277	-5.5154	3.093	0	0	6.4961
HCC1569	Ibandronate sodium salt	FDPS	-2.8239	0.97445	-4.1779	-3.8755	-4.2352	1.8030000000000002	0.341	0.34367	7.3386
HCC1569	Imatinib	ABL/KIT/PDGFR	-3.248	0.9764	-4.592	-4.5922	-4.7569	1.847	0	0.0035707	6.4402
HCC1569	Ixabepilone	TUBB	-4.4045	0.9123	-6.2375	-6.2365	-6.1322	1.1938	0.0015385	0.095457	5.7971
HCC1569	LBH589	HDAC	-4.4776	0.97785	-6.5516	-6.524	-6.822	1.5305	0.044864999999999995	0.047468	5.7844
HCC1569	Lestaurtinib	FLT3/JAK2/TrkA	-4.4776	0.92445	-5.7231	-5.7214	-6.2004	0.8699	0.001773	0.08249	6.8362
HCC1569	MG-132	Proteasome	-4.1759	0.9861	-6.6249	-6.6125	-6.7353	3.3455	0.044675	0.044675	5.1402
HCC1569	MLN4924	NAE1	-4.1759	0.8469	-5.8629	-4.1759	-5.643	0.5406	0.5928	0.63722	7.9236
HCC1569	NSC663284	CDC25	-3.7773	0.9759	-5.3183	-5.3169	-5.4529	3.11	0.0062505	0.0063366	6.2815
HCC1569	NU6102	CDK1/2	-4.1759	0.8735	-4.58	-4.4909	-4.6448	2.925	0.2016	0.29568	8.0226
HCC1569	Nutlin 3a	MDM2	-4.1759	0.9023	-4.4159	-4.4159	-4.4193	1.681	0	0.28473000000000004	8.1346
HCC1569	Olomoucine II	CDK1	-3.8761	0.9495	-5.2511	-4.468999999999999	-5.312	2.5615	0.3647	0.37574	7.3912
HCC1569	Oxaliplatin	DNA cross-linker	-3.2013	0.96	-5.1483	-4.8709	-5.3869	0.5797	0.15425	0.214	6.2087
HCC1569	Oxamflatin	HDAC	-4.1759	0.9855	-5.6739	-5.6636	-5.8921	2.0115	0.03203	0.039505	6.3603
HCC1569	PD173074	FGFR1/3	-4.4776	0.97	-5.0968	-5.0968	-5.2307	2.346	0	0.034057	7.3805
HCC1569	PP242 hydrate	MTOR	-4.301	0.9797	-7.818	-7.8177	-9.0248	0.2628	0	0.1064	3.7403
HCC1569	Paclitaxel	TUBB	-4.4776	0.93385	-8.0131	-4.4776	-7.9203	3.9975	0.55225	0.55225	6.5838
HCC1569	SB-715992	KSP	-4.4776	0.8404	-6.1916	-6.1916	-6.3647	0.4363	0	0.15139	6.1333
HCC1569	Sigma AKT1-2 inhibitor	AKT	-4.1759	0.95825	-4.8179	-4.7859	-5.0882	1.4515	0.042325	0.14787	7.5337
HCC1569	Sunitinib Malate	PDGFR/VEGFR/KIT/FLT3	-3.7773	0.9785	-5.0693	-5.0677	-5.1025	3.51	0.005914	0.005943	6.7454
HCC1569	TCS2312 dihydrochloride	CHK1	-4.4776	0.97055	-6.2511	-6.1864	-6.3416	3.177	0.1869	0.18692999999999999	6.4763
HCC1569	Tamoxifen	ESR1	-3.7773	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.8258
HCC1569	Temsirolimus	MTOR	-3.8761	0.7749	-4.9524	-4.9524	-5.5033	0.41585	0	0.28139000000000003	6.3529
HCC1569	Topotecan	TOP1	-3.9626	0.9006	-5.5592	-5.3784	-5.8132	0.92275	0.1629	0.29955	6.7602
HCC1569	Trichostatin A	HDAC	-2.301	0.8717	-4.998	-4.9721	-5.0569	2.2065	0.058539999999999995	0.058549000000000004	4.673
HCC1569	Triciribine	AKT	-4.4776	0.9035	-5.5916	-4.4776	-4.4776	0.3913	0.4681	0.61239	7.5391
HCC1569	VX-680	AURK/FLT3/ABL/JAK2	-4.0	0.9023	-5.022	-5.022	-5.7245	0.5522	0	0.21425999999999998	6.7476
HCC1569	Valproic acid	HDAC	-1.8239	0.9683	-2.4651	-2.465	-2.7894	1.2505	0	0.14060999999999998	7.3888
HCC1569	Vinorelbine	TUBB	-4.3335	0.8898	-6.349	-6.349	-6.3653	0.4765	0	0.11896	5.763
HCC1569	Vorinostat	HDAC	-1.7282	0.97725	-3.9042	-3.8723	-4.0163	1.2645	0.044065	0.046046	5.5184
HCC1569	XRP44X	ELK3	-3.8761	0.7363	-5.7191	-3.8761	-5.3606	1.114	0.5651	0.56892	8.1058
HCC1569	Z-Leu-Leu-Leu-al	Proteasome	-4.1759	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.9296
HCC1569	Z-Leu-Leu-Norvalinal	Proteasome	-4.1759	0.9279999999999999	-6.2469	-6.1312	-6.41	1.348	0.1512	0.15257	5.6524
HCC1806	17-AAG	HSP90	-4.0	0.98325	-7.018	-6.9621	-7.0904	2.574	0.14155	0.14155	4.9223
HCC1806	5-FU	TYMS	-1.7167	0.94395	-4.0882	-4.0549	-4.6127	0.45895	0.01681	0.094252	5.1471
HCC1806	5-FUdR	TYMS	-2.301	0.9081	-3.685	-3.6848	-4.0833	0.4124	0	0.21181	6.0697
HCC1806	AG1478	EGFR	-3.7773	0.9534	-6.3023	-3.7773	-3.7773	1.508	0.6517	0.65175	6.9397
HCC1806	BIBW2992	EGFR/HER2	-4.1759	0.9406	-6.0549	-6.0553	-6.3696	0.6005	0	0.069223	5.5406
HCC1806	Baicalein	Lipoxygenase	-3.7773	0.7422	-4.6096	-4.123	-4.428	1.631	0.4196	0.444	8.0379
HCC1806	Bortezomib	Proteasome	-3.7773	0.99025	-6.8763	-6.8723	-6.9551	2.347	0.010662	0.010662	4.0509
HCC1806	Bosutinib	Src	-4.0	0.8647	-5.769	-5.6161	-5.7744	1.646	0.2202	0.22115	6.4751
HCC1806	CGC-11047	Polyamine analogue	-2.301	0.8290000000000001	-4.188	-4.1877	-4.6384	0.4628	0	0.1181	5.7011
HCC1806	CGC-11144	Polyamine analogue	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
HCC1806	CPT-11	TOP1	-4.0696	0.9424	-5.4126	-5.4129	-5.817	0.8640000000000001	0	0.064618	6.8862
HCC1806	Carboplatin	DNA cross-linker	-2.8697	0.9862	-4.6327	-4.6326	-4.8368	1.3335	0	0.0047142	6.0367
HCC1806	Cisplatin	DNA cross-linker	-3.6021	0.8844	-5.5711	-5.5351	-5.7058	1.7555	0.07965	0.082237	5.899
HCC1806	Docetaxel	TUBB	-5.0	0.99365	-8.5945	-8.5659	-8.6584	2.123	0.08528	0.08528	3.8338
HCC1806	Doxorubicin	TOP2	-6.2596	0.9359999999999999	-6.9901	-6.9901	-7.3056	1.2590000000000001	0	0.14927	7.3923
HCC1806	Epirubicin	TOP2	-3.7645	0.96815	-6.6205	-6.6193	-6.8314	1.2815	0.0026184999999999997	0.003554	4.3489
HCC1806	Erlotinib	EGFR	-4.1759	0.937	-6.3019	-4.1759	-5.4555	0.3761	0.4275	0.5059	6.9148
HCC1806	Etoposide	TOP2	-3.4776	0.89605	-5.5486	-5.497999999999999	-5.6338	2.472	0.11292	0.11847	5.9521
HCC1806	Everolimus	MTOR	-4.1759	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.5682
HCC1806	Fascaplysin	CDK4	-4.4776	0.97165	-6.5146	-6.5131	-6.5995	2.3115	0.005265	0.005328800000000001	5.5217
HCC1806	GSK1059615	PI3K	-3.8761	0.9693	-5.5871	-5.5872	-5.8567	0.7958	0	0.041671	5.9921
HCC1806	GSK1070916	AURK	-4.4776	0.9314	-5.0186	-5.0186	-5.0488	2.411	0	0.047258	7.4139
HCC1806	GSK1120212	MEK	-4.7773	0.84765	-8.6718	-4.7773	-6.3239	2.395	0.67285	0.67285	7.0514
HCC1806	GSK1838705A	IGF1R	-4.1759	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.5117
HCC1806	GSK2119563A	PI3K	-4.4776	0.8265	-5.5896	-5.294	-5.8016	0.5285	0.1509	0.32532	7.019
HCC1806	GSK2126458A	PI3K	-4.4776	0.9844	-7.2646	-7.192	-7.5727	0.6333	0.05043	0.066461	4.7285
HCC1806	GSK461364	PLK1	-4.4776	0.9549	-7.9236	-7.8853	-7.9576	4.0	0.1486	0.1486	4.4396
HCC1806	GSK923295	CENPE	-4.4776	0.9576	-7.3626	-7.232	-7.3834	2.186	0.2401	0.2401	5.3896
HCC1806	Gefitinib	EGFR	-4.4776	0.8141	-5.0403	-5.0403	-5.3864	0.5684	0	0.28918	7.4082
HCC1806	Geldanamycin	HSP90	-4.0	0.9601	-7.023	-6.8637	-7.142	0.9641	0.1714	0.17168	5.0653
HCC1806	Gemcitabine	DNA replication	-3.8416	0.9790000000000001	-8.6516	-8.5897	-8.7366	2.103	0.1252	0.1252	2.5814
HCC1806	IKK 16	IKK	-4.1759	0.9793	-5.9889	-5.9861	-6.0678	2.376	0.0069489999999999994	0.006998000000000001	5.6544
HCC1806	Ibandronate sodium salt	FDPS	-2.8239	0.9317	-4.4029	-4.3485	-4.5453	1.088	0.0638	0.081384	5.9744
HCC1806	Imatinib	ABL/KIT/PDGFR	-3.248	0.9836	-5.141	-5.1337	-5.2206	2.345	0.01956	0.019596000000000002	5.7534
HCC1806	Ixabepilone	TUBB	-4.4045	0.9689	-8.5525	-8.4669	-8.6382	1.242	0.1087	0.10870999999999999	3.3033
HCC1806	LBH589	HDAC	-4.4776	0.9872	-6.7156	-6.716	-6.8511	1.4269999999999998	0	0	5.235
HCC1806	Lestaurtinib	FLT3/JAK2/TrkA	-4.4776	0.9867	-6.7396	-6.7272	-6.8389999999999995	1.754	0.02539	0.025495	5.2897
HCC1806	MG-132	Proteasome	-4.1759	0.9957	-6.5159	-6.5125	-6.5782	3.097	0.013330000000000002	0.013330000000000002	5.1323
HCC1806	MLN4924	NAE1	-4.1759	0.9848	-7.5899	-7.5013	-7.7031	1.137	0.1033	0.10342	4.194
HCC1806	NSC663284	CDC25	-3.7773	0.9532	-5.6083	-5.6067	-5.6892	2.319	0.003952000000000001	0.0040085	5.6257
HCC1806	NU6102	CDK1/2	-4.1759	0.9741	-4.6994	-4.6927	-4.7494	4.0	0.029810000000000003	0.037564	7.8793
HCC1806	Nutlin 3a	MDM2	-4.1759	0.9708	-4.4855	-4.4855	-4.3888	3.4330000000000003	0	0.07961900000000001	8.2506
HCC1806	Olomoucine II	CDK1	-3.8761	0.988	-5.0531	-5.0427	-5.1219	2.873	0.03274	0.033142000000000005	6.8721
HCC1806	Oxaliplatin	DNA cross-linker	-3.2013	0.97405	-5.3048	-5.3049	-5.6499	0.7834	0	0.022649000000000002	5.5975
HCC1806	Oxamflatin	HDAC	-4.1759	0.9896	-5.9819	-5.9817	-6.195	1.02	0	0.014188	5.8477
HCC1806	PD173074	FGFR1/3	-4.4776	0.965	-5.3356	-5.319	-5.4146	2.086	0.03808	0.053444000000000005	6.9584
HCC1806	PP242 hydrate	MTOR	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
HCC1806	Paclitaxel	TUBB	-4.4776	0.9897	-8.0876	-8.0685	-8.1579	2.74	0.065535	0.065535	3.6186
HCC1806	SB-715992	KSP	-4.4776	0.96765	-7.6056	-7.5647	-7.6317	3.431	0.1391	0.1391	4.7889
HCC1806	Sigma AKT1-2 inhibitor	AKT	-4.1759	0.9903	-4.9814	-4.9814	-5.0839	2.126	0	0.019019	7.2872
HCC1806	Sunitinib Malate	PDGFR/VEGFR/KIT/FLT3	-3.7773	0.96595	-5.2428	-5.2423	-5.3269	2.8689999999999998	0.0014445	0.0022207	6.6067
HCC1806	TCS2312 dihydrochloride	CHK1	-4.4776	0.9584	-6.1976	-6.1902	-6.2588	2.8339999999999996	0.02331	0.023323	5.8777
HCC1806	Tamoxifen	ESR1	-3.7773	0.9938	-4.8683	-4.8664	-4.9281	3.742	0.006834999999999999	0.0069173	7.0683
HCC1806	Temsirolimus	MTOR	-3.8761	0.8494	-4.5955	-4.5956	-4.7826	0.976	0	0.16565	7.0039
HCC1806	Topotecan	TOP1	-3.9626	0.9858	-7.3486	-7.3172	-7.6959	0.9514	0.03372	0.034299	3.9182
HCC1806	Trichostatin A	HDAC	-2.301	0.96895	-4.9315	-4.9267	-5.0104	2.1805	0.011912	0.011915	4.6628
HCC1806	Triciribine	AKT	-4.4776	0.96835	-6.5416	-6.4771	-6.8429	0.67815	0.06385	0.18564	5.7257
HCC1806	VX-680	AURK/FLT3/ABL/JAK2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
HCC1806	Valproic acid	HDAC	-1.8239	0.8063	-2.5025	-2.5025	-2.6758	1.038	0	0.16494	6.7918
HCC1806	Vinorelbine	TUBB	-4.3335	0.991	-8.2425	-8.224	-8.2912	3.8810000000000002	0.07629	0.07629	3.3665
